dbms	TABLE_SCHEMA	TABLE_NAME	COLUMN_NAME	ORDINAL_POSITION	DATA_TYPE	CHARACTER_MAXIMUM_LENGTH	CONSTRAINT_TYPE	REFERENCED_TABLE_SCHEMA	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
mysql	umg_personaliza_db	access_logs	id	1	int	NULL	PRIMARY KEY	NULL	NULL	NULL
mysql	umg_personaliza_db	access_logs	id_usuario	2	int	NULL	FOREIGN KEY	umg_personaliza_db	usuarios	Id_Usuario
mysql	umg_personaliza_db	access_logs	metodo_login	3	varchar	20	NULL	NULL	NULL	NULL
mysql	umg_personaliza_db	access_logs	ip	4	varchar	45	NULL	NULL	NULL	NULL
mysql	umg_personaliza_db	access_logs	user_agent	5	varchar	255	NULL	NULL	NULL	NULL
mysql	umg_personaliza_db	access_logs	exitoso	6	bit	NULL	NULL	NULL	NULL	NULL
mysql	umg_personaliza_db	access_logs	fecha	7	datetime	NULL	NULL	NULL	NULL	NULL
mysql	umg_personaliza_db	areas_entrega	id	1	int	NULL	PRIMARY KEY	NULL	NULL	NULL
mysql	umg_personaliza_db	areas_entrega	nombre	2	varchar	100	NULL	NULL	NULL	NULL
mysql	umg_personaliza_db	areas_entrega	descripcion	3	varchar	255	NULL	NULL	NULL	NULL
mysql	umg_personaliza_db	areas_entrega	activo	4	bit	NULL	NULL	NULL	NULL	NULL
mysql	umg_personaliza_db	auditoria	id_auditoria	1	int	NULL	PRIMARY KEY	NULL	NULL	NULL
mysql	umg_personaliza_db	auditoria	id_usuario	2	int	NULL	FOREIGN KEY	umg_personaliza_db	usuarios	Id_Usuario
mysql	umg_personaliza_db	auditoria	accion	3	varchar	100	NULL	NULL	NULL	NULL
mysql	umg_personaliza_db	auditoria	descripcion	4	text	65535	NULL	NULL	NULL	NULL
mysql	umg_personaliza_db	auditoria	ip_origen	5	varchar	45	NULL	NULL	NULL	NULL
mysql	umg_personaliza_db	auditoria	fecha_evento	6	datetime	NULL	NULL	NULL	NULL	NULL
mysql	umg_personaliza_db	auditoria	indice_accion	7	varchar	50	NULL	NULL	NULL	NULL
mysql	umg_personaliza_db	carrito_items	id	1	int	NULL	PRIMARY KEY	NULL	NULL	NULL
mysql	umg_personaliza_db	carrito_items	id_carrito	2	int	NULL	FOREIGN KEY	umg_personaliza_db	carritos	id
